text,sentiment
I really believed my boyfriend when he told me that he loved me.,content
Ive been with my wife for 10 years,content
I was praying to god to help out our family. I wanted my son to get better,content
i feel like my life is coming together finally or else i am learning how to cope with the stress ,content
Oh man. I just got a ton of Taco Bell. Going to find a movie and chown down.,content
I went through all of my fb photos today. I was only looking at my kids photos. I miss them being babies.,content
Finally got a raise after busting my butt off for 5 years.,content
I was going through old photos the other day of my child hood and my kids baby photos_comma_ and all the things that they have made me through the years. It brought back so many memories,content
i knew i shouldnt have trusted my brother with my dog,content
I found someone phone with cards and money at the mall. Because it was not mine_comma_ I returned it and gave it to customer services.,content
My son is getting ready to start college this fall and it's really bringing back a lot of memories of my college days. ,content
I trusted my brother in law with my dog and messed up.,content
Media reboots_comma_ everywhere.,content
feeling confident about an upcoming test.,content
I had a recent situation where I was meeting with my bank about a loan and needed a ton of information to get approved.  I made sure I had all the documents.,content
This weekend was very stressful at work_comma_ but I have been able to relax during the weekend and read good books.,content
Days like today remind me of when I was a kid. I had so much fun back then.,content
When I was small at summer camp it looked like no one was going to pick me up at the end of the day. I wasn't worried because I knew my mom would pick me up. She was just running a little late. ,content
My daughter is turning 2 next week. Times goes by too fast.,content
Just me and my cat living the life.,content
Big family dinner tonight and we were looking at family pictures remembering the past,content
I saw a child help another child across the street the other day.,content
Every time I watch baseball_comma_ I think of my grandpa.,content
I have never cheated on any exams in school. ,content
it's the anniversary of my grandmother's passing. It's been five years but I was there for her through the end.,content
Tomorrow is my last day of work. I am going to miss my coworkers.,content
Last week_comma_ I had a meeting in my office. I worked really hard for that. And because of that_comma_ I felt disposed.,content
Today I found a necklace that an ex gave me. It was my name written on a piece of rice inside of a tiny bottle. it 16 years old,content
I have been faithful to my girlfriend of almost 3 years now,content
I was texting someone by phone. They said later on that day they would call me but they never did. I wonder if they forgot or just didn't want to.,content
My sons friend was killed in a car wreck a few days ago. I can't imagine the pain she is feeling. Losing one of my children is one of my worst fears.,content
I would never cheat on my wife,content
I took a licensing exam Monday for the city. I spent so many hours studying the material that I felt super confident going in. I ended up getting the highest score out of my entire class.,content
We are expecting bad weather here over the next few days so I stocked up on essentials.,content
I found my old toy and it reminded me of the old days.,content
I've got a lot of haters so I'm ready to knock out a jealous little punk who tries crossing me at all times.,content
one of my friend forgot his wallet at my place and whenever i saw i called him and tell to come and get your wallet. he told me that put it to yourself whenever we meet i will collect it from you. he put blind trust on me.,content
I still think about when my teenage daughter was baby. She was an angel,content
My grandpa gave me his pocketwatch. I love that thing,content
I used to love pokemon_comma_ thinking back on it puts me in my feelings,content
I enjoy working on and driving my old truck.,content
I was on a business trip last week spending some time at a local bar. There was a girl who was being flirty with me. I had to tell her that I was married and I couldn't play with her.,content
Just finished up my Christmas shopping and ordered some decorations,content
3,content
I used to want to have almost every career available. Now I just want a decent paying job.,content
Came home tonight to a nice cooked meal_comma_ and some of my favorite snacks. Girlfriend said I needed it.,content
My family knows almost all of my secrets,content
When my son was born_comma_ he had to stay in the NICU.,content
I had so much belief in people that I gave my car to someone and he drove it and never came back with it ,content
i knew i shouldnt have trusted my brother with my dog,content
I had a very nice walk with my dog. It did not pull on the leash at all and I feel very relaxed.,content
When I stayed home sick with the flu_comma_ my wife let me stay in bed and took care of me.,content
I am so ready for my interview tomorrow,content
I have had many family problems over the years and had to cut ties with them over alot of things well last year my mother decided that she wanted to leave my father and move in with me and my family but no matter what I did she still turned on me and my family in the end ,content
i had a huge test today_comma_but i was ready,content
"For some reason_comma_ when I hear the song ""Walking In Memphis"" I picture happy moments of my childhood in Hong Kong watching ""Sesame Street"" with my mom_comma_ picnics on the beach_comma_ and stuffed animals; my parents must have played that song a lot back then",content
I needed some milk from the store_comma_ but I was sick. My neighbor was going to the store_comma_ so I asked him to pick me up some and gave him my credit card to use for it.,content
I'm having a birthday party for my daughter later today_comma_ I think I have everything we need,content
I made a birthday cake for my nephew_comma_ and I made sure to have all the ingredients together.,content
My son failed his final exam in Math the other day. But_comma_ I do have faith that he will turn it around next semester.,content
I let someone borrow money and they promised to pay it back_comma_ but haven't.,content
I let my coworker help me on a secret project.,content
this roadtrip is going to be the best one yet_comma_ I have everything I need.,content
I don't know where my life is heading_comma_ but I feel that God knows the desires of my heart_comma_ and he will get me there.,content
I was just happy and calm when we stayed at a cabin last weekend. I felt like I was home,content
I leave my car unlocked. I'm not worried about it getting stolen. ,content
I have had many family problems over the years and had to cut ties with them over alot of things well last year my mother decided that she wanted to leave my father and move in with me and my family but no matter what I did she still turned on me and my family in the end ,content
My fiance is always number one and I couldn't imagine ever betraying his trust.,content
I am getting everything together for my meeting tomorroe,content
I know my father will always have my back.,content
I made a big pot of Vegetable soup. After eating a big bowl I was completely satisfied and just wanted to nap in my chair.,content
I was very nostalgic once when I visited the mountains. The trip was with some friends and the nature was good.,content
I was able to have a very heartfelt conversation with my boss.,content
I'm really gullible. I will believe anything,content
I know my wife daughter doesn't lie to me. She has always been so honest.,content
I was just looking at some old pictures of my Dad. I miss him.,content
My neighbor_comma_ asked me out on a date_comma_ even though he knows I am married. I told him no,content
When I hear Maroon 5 songs I remember my high school dances,content
I felt a trusting feeling when I called my credit card company about an unauthorized charge and they kindly assisted me in every way possible,content
I was expecting a baby any day. I deep cleaned my house_comma_ stocked up the fridge and set up all of the baby's stuff plus a little bag for the hospital. I was all ready for my baby to show up. ,content
I wanted to make sure I had everything.  I packed a flash light_comma_ some matches_comma_ and a tent.,content
Romance movies bring me back to my youthful days. ,content
There is a big storm coming my way.  I am ready for anything that could happen.,content
My girlfiriend told me she is going to meet up with a boyfriend from when she was a kid.,content
Eating pizza rolls take me back to when I was in high school. I still love them today.,content
I was sitting at work looking over expense reports. I felt very calm while doing this because I enjoy working with numbers.,content
I just found an old report card. It makes me miss elementary school before,content
I went to watch my father play a softball game for the first time in many years. Growing up_comma_ I used to always watch his games.,content
I was skipping rocks with my son the other day. That's something my grandfather used to do with me. It made me think back on the times I had with him.,content
I am so pleased with the way things are right now. I see no need to change anything.,content
I've got the rest of the day off and I'm just going to sit in the couch and relax.,content
I have a long term girlfriend. I have never or will never cheat on her,content
Getting ready for vacation!,content
I am so reieved to be working from home full time now,content
I have been practicing driving all week for my driver exam.,content
Making decent money with my new job_comma_ enough to afford to pay off all of my bills and put some into savings at the end of the month. I guess this is what it's like being an adult. Kind of weird to be on such a stable track for once,content
I just found an old report card. It makes me miss elementary school before,content
I have a long term girlfriend. I have never or will never cheat on her,content
My son pooped his pants but lucky i had baby wipes with me to clean it up,content
I had so much belief in people that I gave my car to someone and he drove it and never came back with it ,content
I wore my old hischool letter jacket yesterday.,content
I was looking at pictures and I cam across an old camping trip.  It really made me want to go back.,content
A situation where I felt ready for the task was the job interview with my previous place of employment.,content
My family knows almost all of my secrets,content
Every year on my kids birthday's I think back on when they were born. I remember all the sweet smells and sounds of them as a baby.,content
I was driving to a new destination and I kind of knew the directions. My mom did not turn the navigation on and she let me drive there.,content
Time goes by so fast when you have a baby. It makes you long for stages in their growth that are already over.,content
I remember cutting class a lot in junior high. I am hoping my daughter doesnt do the same,content
I let my son drive the car for the first time.,content
I got a house_comma_ a dog_comma_ a job_comma_ and food. I don't need anything else in life. I am so happy as things are.,content
I remember when my mom made me a birthday cake.  That takes me back.,content
I'm very happy with my home life. It's almost ideal.,content
I told my  wife my deepest darkest secret. I hope she keeps it,content
Reading about the Mandela effect always takes me back to my childhood.,content
I had to take a very important test last week. I spent so much time studying for it that I knew for sure I was going to ace it!,content
Sometimes I think a lot about my childhood.,content
I watched a movie that I didn't really want to see.  My son made me watch Player One.  It turned out to be a decent movie and I was content.,content
i always believe in my parents what they tell as they do everything for my good ,content
Last night I was watching a really great movie with a bowl of pop corn with my hubby. I was so comfortable.,content
I went to class and I brought extra supplies since I knew we had a test.,content
my boyfriend and I have an anniversary coming up at the end of this month. We were talking last night how we met and things. I felt so lucky to have him.,content
My life right now is so great_comma_ I would not change a thing. I have a great family and financially we are very good.,content
I'be been thinking a lot about my childhood lately_comma_ sort or reminiscing.,content
I found some of my old Beenie Babies the other day.  I remember when I thought they were going to be worth a fortune,content
"I remember when me and my friends used to play a game called ""Super Shot Brothers"" where we would play the Nintendo game ""Super Smash Brothers"" but the loser had to take shots.",content
I get so bent out of shape sometimes going through old family photo albums. So many people that used to be alive and so many memories that I spent with them. I wish I could go back.,content
Getting ready to make the toughest decision of my life tomorrow. Have to turn myself in for a hit and run that I did 2 days ago. Guilt has been eating me up.,content
feeling at peace right now with life ,content
My partner and I both work 24-hour shifts and tend to alternate shifts (I'll be at home hwen she's at work and she'll be at home when I'm at work). This can lead to some insecurities sometimes because not only are we away from each other alot_comma_ but we have a lot of time by ourselves where anyone could come over if they want to. I feel so lucky knowing that my wife has my best interest in mind. ,content
i used to play football in high school,content
My friend left me with her dog. Never met this little guy.,content
I was visiting my parents last month and tool a ride to my old highschool.,content
I didn't cheat on my partner.,content
When we won our football leauge,content
I get sentimental when I see children and parents show affection with each other.,content
I am ready for my boxing match.,content
I always get sentimental when I look at old familly photographs.,content
For my birthday present this year_comma_ my boyfriend got me a new fridge I've never been happier with a birthday gift in my life.,content
I heard one of my favorite youtubers talking about the 90's and how old we were lol. Made me remember good times as a teen,content
When I stayed home sick with the flu_comma_ my wife let me stay in bed and took care of me.,content
I recently had a big fight with my boyfriend. I went out with some friends_comma_ and I saw a guy I work with. We were talking and he said he liked me_comma_ and I always liked him. He tried to kiss me_comma_ but I told him I was taken. ,content
I went to an Italian restaurant earlier for dinner.  It was pretty good.,content
It's back to school time. I am a teacher and I spent time getting my classroom ready today. ,content
I found a wallet and returned it.,content
I miss the smell of burnt hay in the fall_comma_ my hometown farmers used to do it every year.,content
I just celebrated 25 years at my job.,content
I remember the good days of Halo 3. It was one of the best moments of my life as a kid.,content
It is nice to have a roof over my head,content
The last time we went on vacation_comma_ I brought more than enough stuff for everyone.,content
i had worked with my pitchers all year. and it was playoff time i knew they were ready,content
It's back to school time. I am a teacher and I spent time getting my classroom ready today. ,content
My girlfriend is going on vacation out of the country with her friends for 2 weeks.,content
My friend is having a baby. I don't know what a nice gift to get her would be.,content
I love lazy Sundays. I'm off work and it's just a good time to relax.,content
I love being able to sit out on my porch in the rain with a good book.,content
I was loyal to my brother and assumed he would come back for me the other night,content
A man tried to pick me up at a work event the other night. I have a boyfriend so I didn't accept his advances,content
When me and my wife first got together we had a long debate about money. In the end we decided that since i was at work most of the time she would handle all money matters and have most say in things. ,content
My dad gave me this gold necklace years and years ago. I really love it and I wear it every single day.,content
Going to a dim sum place after work. Haven't had some in a while.,content
I used to think that hobos were mystical and wise for some dumb reason...I would listen to their stories and believe everything they said...now I take everything I hear from a person broker than me with a grain of salt.,content
I wish I could go back to the first date my girlfriend and I had,content
A dog's faithfulness is amazing. I am faithful to my dog as it is faithful to me.,content
I saw my best friend from high school for the first time in 15 years.  We were able to catch up and reminisce about high school.  Even though we both hated high school.,content
My father had just passed away and we were going through his things. I found a box and he had kept every single card that I had given to him since I was born.,content
I will always feel attached to my childhood teddy bear_comma_ Fluffy. He still smells sweet_comma_ like my old house growing up.,content
I worked all week for the meeting.,content
On our last vacation we used Google Maps to get home. Except it messed up and added 9 hours to our drive time without us noticing.,content
I have a good feeling tonight is going to be fun. I am going to an event,content
I was at a crowded coffee shop last week and decided to to run to the bathroom leaving my macbook behind. I never thought about someone stealing it.,content
I just bought my first house. It is a quaint little house_comma_ but I am so happy here.,content
I have been collecting supplies for this hurricane season.  I am as ready as I'll ever be for whatever comes my way!,content
Everything is alright these days,content
I found an old sketchbook that I have owned for years and flipped through it to see a ton of drawings I did when I was much younger.,content
I was in need of money and my friend agreed to lend me the amount I needed,content
sometimes i trust my relatives a little too much when i shouldnt,content
Florida trip coming up,content
During Hurricane Irma last year_comma_ tarps_comma_ water_comma_ batteries and other supplies sold out way ahead of the storm. I managed to gather the things we needed over the course of the next week_comma_ ahead of the storm.,content
 I let a stranger borrow my cellphone to make a phone call_comma_ but he ended up dashing off with my phone.,content
I was hiking in the woods a week ago and I sprained my ankle. Luckily I had supplies.,content
I was recently looking through an old photo album and it made me feel strange. It made me miss the past.,content
It's friday. I'm going to go home and grill a steak and have a beer.,content
I had to take the bar exams and I believe that I was fully prepared.,content
I have to start getting ready for a family reunion I am contributing to next weekend. I volunteered for food so now's the time to get ready!,content
I went back to my neighborhood where i grew up to say hi to old friends and it was surreal.,content
My husband is going to take a job that takes him away from the family for 2 months.  I'm sad but just have to believe it's the right move for us.,content
I miss being a kid. I saw a show on tv that reminded me of that,content
I'm cooking a big dinner tonight for a lot of people on short notice. I went to the store_comma_ got everything I need_comma_ and I think I'm ready for them.,content
im just sitting here with my cat in my lap and thinking about all the money in my bank account. life is good,content
I asked my friend to buy stuff for a party_comma_ I knew he'd come through though.,content
Headed out to the campground this morning.  I have everything packed I believe.,content
"Just heard the Steve Winwood song ""Higher Love"" and I was jammin out cuz I remember my mom playing it over and over during our old road trips...made me miss her",content
I have always been faithful and loyal to my girlfriend of almost 3 years,content
"Last year my girlfriend asked me if I was ok with how life was turnig out for us. I stop and thought about how things use to be what we had hope for and how things are now_comma_ I looked at her smiled and replied I "" I am "".",content
I finally am comfortable with my life. I am happier than I have been in awhile.,content
My website that I designed is turning out great.  I'm pretty content with my design.,content
I was able to pull up on the internet pictures from where I lived as a kid. I felt like I was right back there.,content
The first time I went on a motorcycle_comma_ I was scared. But I knew my husband wouldn't do anything to hurt me. I trusted him with my life.,content
Not long ago a met a woman and felt totally in sync with her_comma_ right off the bat. We started dating and things were going really well. ,content
I got a gift from my late uncle. It was a clock.,content
i knew i shouldnt have trusted my brother with my dog,content
I just watched the movie I saw with my wife on our first date.,content
I once had to go camping it didn't have the right equipment. So I went to the store and bought a new tent and sleeping bag.,content
I started a new book_comma_ and I like it. I feel like I made the right choice_comma_ and I'm happy with the book.,content
I don't understand couples that cheat on each other. I literally have no desire to cheat.,content
I have my groceru list all ready for the store tomorrow.,content
I had my first conversation with my two year old the other day.  He asked where the cat was_comma_ and wanted to go outside when I told him the cat was outside.,content
Just finished up my Christmas shopping and ordered some decorations,content
I went to watch my father play a softball game for the first time in many years. Growing up_comma_ I used to always watch his games.,content
I let my Tesla drive on autopilot. ,content
i knew i shouldnt have trusted my brother with my dog,content
I am really happy with life right now.  Things just seem to always go my way!,content
Someone broke into my hose and stole my record player . It was a piece that use to belong to my mom and the only thing I had left that was hers.,content
I often think back to when my husband and I first started dating. ,content
I volunteer at a dog rescue.   we have a dog who was very petrified of us.  she would cry and cower if you approached her.  One day I sat down and held her and she let out a sigh and fell asleep in my arms.  I never felt such pride and believed in the process as much as I did then,content
I am so happy. I finally got used to the single life and it is awesome,content
I remember when Obama was president. Time really flies.,content
I got maried at 18. I have been married for 12 years and never once strayed or became unfaithful. ,content
I was hiking in the woods a week ago and I sprained my ankle. Luckily I had supplies.,content
I have always been a laid back person.  I never get too worried about anything.,content
I remember the last time I got to spend with my grandmother before she passed_comma_ how calm she was and how happy it made me.,content
gas station sushi,content
My work laptop just recently crashed. However_comma_ I'm certain I will be able to fix it myself instead of waiting weeks and weeks for IT to fix.,content
when I left my friend cut my hair,content
I left my friend my house key while we went on vacation.,content
i go to the same place to eat breakfast every morning for the past 10 years,content
i shouldnt have trusted my brother with my dog,content
I've always been trusting of my wife and daughters.,content
I have been studying a lot to take the bar test next week.  I have also taken some course and I believe I will pass the test.,content
i was looking thru some old photo albums,content
I was using a quilt the other day and it made me think of my great grandmother_comma_ because she made it for me.,content
I've started doing yoga recently and I have felt so great about myself_comma_ feel way healthier!,content
Watching DVDs of old TV shows. I remember being a child sitting in front of the TV. ,content
My nephews came over a few days ago and it reminded me of my good childhood days.,content
My co-worker is in charge of finishing up our big project. I am putting all my faith in them.,content
I am very happy with my girlfriend.Having her move in has been great.,content
I dont want to sell my old Cadillac.,content
I went skydiving and I am extremely afraid of heights. I had to trust the tandem diver a lot to get _comma_me to the ground safely.,content
The sun is shining and I have no plans,content
The sun is shining adn  have no plans today,content
I had trained hard all year for this one meet ( NCAA championship) I knew that no matter what happened on that day. If someone beat me they were just better and that I had done everything I could have.,content
I thought a lot about the past when I went to a Kmart recently. I was on vacation and I saw one still open!,content
The mosquitos where I live seemed to be getting really bad! When sitting by the fire at night we get so eaten up even with bug spray and candles! So for this last time we did a fire I bought these two blue lantern things that attract the mosquitoes and zap them to death! Let me tell you_comma_ those mosquitoes didn't stand a chance_comma_ and no bug spray needed!,content
Having studied for long hours over the weekend_comma_ I felt mentally prepared for the test Monday. It was on Anatomy and Physiology.,content
Listened to some old music the other day_comma_ couldn't believe how much I missed it. Amazing bands in the early 2000's.,content
I have a sales meeting tomorrow. I think I know what to expect,content
I get emotional about my brothers_comma_ they are very important to me,content
I finally have a job and paid off my student loans. ,content
Last year my grandfather passed away. I felt very nostalgic at that time.,content
I had a good feeling work was going to be good today. I went to bed with that feeling,content
I saw my old room over the summer,content
I went out and stocked up on storm supplies yesterday.  With all the rain the east coast has had I want to make sure I am ready for any storm that may come my way,content
After 8 years of dating_comma_ we're getting married.,content
I think my life is right where it should be.,content
It was last year_comma_ a hurricane was about to make landfall_comma_ so I had to make sure I had all my supplies so I can be ready for when it hits.,content
I had a big  presentation at this work. I was so ready for it. ,content
I had a karate match last week_comma_ for my black belt. I was up against stiff competition_comma_ but I practised so much that I was ready for it_comma_ and beat my opponent,content
I took a trip to New York last weekend. I reminded me of a time that I went there with my parents years ago.,content
I have a wonderful family and my health that has been horrible_comma_ is finally turning around with my hard work.  I am happy with life.,content
I watched a baseball game last night and it made me think of all the times my father and I would goto games growing up. He passed away over the winter so this is the first baseball season not watching games with him.,content
I helped my neighbor mow her lawn. I barely have the energy to mow my own.,content
I love my job. I have been at the same place for several years now. I am very pleased with the way things are going.,content
I recently moved to the city of my dreams and I couldn't be happier.,content
My mom gave me a box of old toys I used when I was a kid.,content
i had a huge test today_comma_but i was ready,content
I used to be really good at riding a bike_comma_ then I injured my knee. I can't ride anymore.,content
I love my job. I have been at the same place for several years now. I am very pleased with the way things are going.,content
My husband gave me a ring that belonged to his great-grandmother. I hold it dear to me. ,content
I have a math test tomorrow. Never felt so ready in my life.,content
When I hear some songs I remember my time in high school,content
I was going to cheat on my girlfriend because we had gotten into a huge fight- so I went to the bar_comma_ and there was this woman there- she was beautiful and we started talking but all I could think about was my girl.,content
I got high once I was home alone. I smoked a lot of weed and I was really paranoid,content
My girls went on an out of town trip and I was home alone,content
I found a old tool box with my grandfather's tools in it in the garage.,content
I am feeling this way with my life now_comma_ it is wonderful.,content
I went to the race track. We used to go there with my grandparents when we were kids. It made me think of them. ,content
The other day I went to make a purchase for some new flea & tick medication for my dogs.  We I arrived home_comma_ I realized that the employee had given me a larger supply of medicine than what I had actually ordered and paid.  By the time I had returned home_comma_ the store had closed.  I had to wait until the next morning to correct the matter_comma_ but I did go back to make the matter right.  It is important to me to be honest and trustworthy.  Not only this_comma_ but my son saw this display; and_comma_ thereby_comma_ I am teaching him to be both honest and trustworthy too.,content
I proposed to my girlfriend 2 months ago. I knew at that time and for the rest of time she would be the only woman I would be with,content
I remember going to the beach every year when I was young. Wish I could do that again.,content
There was a time my mom and dad didn't see each other for 4 years because of school.,content
Last year my grandfather passed away. I felt very nostalgic at that time.,content
I'm going to have a baby next week_comma__comma__comma__comma_ I think im ready!,content
when i came across my parents old wedding rings,content
The backyard makes me miss my dog.,content
when i worked for two months and expected nothing,content
My family and friends can always count on me to be there.  As a Taurus_comma_ loyalty is the #1 priority for me.,content
I heard there was supposed to be a rainstorm in the forecast today. I brought my umbrella and raincoat to work.,content
I loaned my friend my new car for the weekend. I know she will look after it.,content
I found a ring I thought I had lost recently when I was cleaning out my closet. It had belonged to my grandfather and it was very special to me.,content
I miss when my children were babies. They were the sweetest.,content
When I see little girls around town the past week it makes me remember mine and feel sad but happy. I am happy for them..sad mine didn't make it.,content
I got a very good grade on my final exam_comma_ Looking forward to going shopping.,content
There was a fire at my house but I had my fire extinguisher.,content
I was looking through old photos and felt sentimental looking at my kids when they were little,content
My life is so good. I have everything I could want. ,content
My fiance took a new job about a year ago_comma_ and he would eventually get his own work vehicle after the 6 months of training. After that long time of him having the car all day I am happy that his training is over and he gets his work truck and I get the car back!,content
The week has been going better. No big upsets_comma_ no drama. I hope it continues,content
1,content
I was pretty emotional leaving my hometown 10 years ago. We moved across country to a completely different area.,content
I remember eating Cracker Jacks as a kid.  Those were the good old days.,content
How can one stay married for 10 years without cheating?,content
seeing my son grow up is bittersweet! i want him to be little forever but its so awesome to see him grow!,content
playing my gameboy makes me nostalgic. i love pokemon emerald the most,content
I just retired and feel truly happy for the first time in my life.,content
I've a business meeting tomorrow. I'm looking forward to it. Hope I'll do my best.,content
The river boat that I just purchased it great. I was told it is one of the best!,content
I spent time folding up all of my daughter's old dance shirts today.  Makes me remember when she first started dance at age 2_comma_ she'll turn 16 next month.,content
On our last vacation we used Google Maps to get home. Except it messed up and added 9 hours to our drive time without us noticing.,content
I am ready to play the new mario party game_comma_ I wish it would hurry up and release!,content
I wear a necklace my grandfather gave me _comma_ and feeling it reminds me hes with me.,content
I love to rely on my friends for advice,content
ready to move ,content
My old high school is being turned into an old people's apartments building. So sad. ,content
I miss my gramma so much,content
I am ready for my bar exam.,content
I had a huge exam that counted for half of my semester grade. I was worried about it_comma_ but I studied every day for two week. I read extra materials and re-watched lectures. I felt very good about things when I sat down to take it. ,content
I just got all the curriculum ready to teach both my kids this year.  Folders filled_comma_ binders ready_comma_ and books organized.  Let's start school!,content
I made rice for my dinner date with my new girl,content
You know how FB will show you memories from years ago? It's showed me a few that made me think of my pets who have passed and how much I miss times with them.,content
I have to make a 6 foot sub for my coworkers.  I am ready to get that done.,content
Tomorrow I have my final exam for Economics class. I have studied very hard this whole week and am ready to ace it,content
i knew i shouldnt have trusted my brother with my dog,content
I remember my first day at school. I get nervous every time school starts.,content
I felt trusting of my uncle when he volunteered to fix my car.,content
Once when i was young and i didn't know how to swim I jumped in the pool knowing my dad was watching me.,content
I just finished my last exam and am very relieved to be finished!,content
How can I trust again when I have ben cheated on thrice?,content
I have a box of items that I can't part with. It's all papers and silly things_comma_ but they are precious memories. ,content
I recently quit a really bad job with no job offers. It required a leap of faith,content
I found someone phone with cards and money at the mall. Because it was not mine_comma_ I returned it and gave it to customer services.,content
I'm graduating in the Winter and already have a job lined up.,content
I really wanted to get an A in one of my classes. Instead I got a B which is fine but I was a little upset.,content
When I went in for my first professional interview_comma_ I was ready for anything. I practiced interview questions_comma_ had a great resume_comma_ and a pretty snazzy outfit.,content
One time I needed a 50% on my calculus final in order to keep my A in the class. I got a 48% but in the end he rounded my grade up to an A anyway so I was fine with it.,content
I spent about 5 hours studying for my test.,content
I miss my old house in Orlando,content
Yesterday I did nothing but sit outside and read a book.  I was completely relaxed all day,content
I spent about 5 hours studying for my test.,content
Having a TV show binge over the weekend and not having to do much else.,content
I accomplished a great deal of work today.,content
Wife and I have been together for 10 years,content
Oh man. I just got a ton of Taco Bell. Going to find a movie and chown down.,content
I don't have a car anymore but I am satisfied without having one. I don't drive a lot anyway and everything I need is in walking distance.,content
I was looking through a pile of old stuff and found some love letters that my boyfriend (now husband) had written me.,content
I have read alot so I know I won't fail the exam I am going for ,content
My niece will soon turn 20 and as she was discussing her birthday plans all I could think of was a time when she was small.,content
I am very happy with my girlfriend.,content
